Name,Team,Minutes,Primary Position,Secondary Position,Nationality,Age,All Goals,xG,Shooting%,Assists,xG Assisted,Key Passes,Dribbles,Successful Dribbles,Dribble%,Dispossessed,Turnovers,Clearances,Aggressive Actions,Defensive Regains,Ball Recoveries,Tack&Int,Aerial Win%,Errors,Pressures,Counterpressures,Counterpress Regains,Passing%,Deep Progressions,Carry%,OP F3 Passes,Touches In Box,Successful Box Cross%,Crossing%
Joe Oastler,AFC Totton,1896,Right Centre Back,Centre Back,England,35,0.09,0.07,46,0,0,0,0,0,,0.14,0.19,7.03,4.46,4.46,11.35,2.71,72,0,6.88,1.23,0.38,75,2.66,99,3.18,1.33,0,
Joe Raynes,Bath City,2388,Right Back,Right Wing Back,England,30,0.04,0.04,27,0.04,0.04,0.38,0.83,0.57,68,0.68,0.9,4.52,7.46,6.37,14.73,3.32,63,0,14.13,3.35,1.24,55,4.22,96,6.78,1.24,22,22
Joe Wright,Chelmsford City,398,Goalkeeper,,England,25,0,0,,0.23,0.06,0.45,0,0,,0,0,0,0.23,4.75,4.07,0,,0,0,0,0,52,2.04,100,0.68,0,0,
Joe Wright,Enfield Town FC,394,Goalkeeper,,England,33,0,0,,0,0,0,0,0,,0,0,0,0.23,7.76,1.83,0,,0,0.23,0,0,25,1.83,100,0.46,0,,
Joel Colbran,Worthing FC,2143,Right Back,Right Wing Back,England,27,0.29,0.19,50,0.04,0.09,1.05,0.59,0.25,43,1.64,1.05,2.69,6.38,5.84,10.33,3.49,53,0.08,10.92,3.15,1.34,80,5.54,96,14.82,4.12,20,39
Joey Phuthi,Eastbourne Borough,324,Right Midfielder,Right Wing,Zimbabwe,21,0,0.05,0,0,0,0,4.44,2.22,50,4.16,3.05,0,4.72,3.61,7.77,3.05,33,0,11.66,4.16,0.56,46,2.22,83,5.55,1.67,100,15
John Goddard,Slough Town FC,1541,Left Wing,Centre Attacking Midfielder,England,32,0.18,0.15,32,0.18,0.2,1.81,1.17,0.58,50,1.52,2.1,0.64,4.38,3.8,7.65,0.82,21,0,10.39,3.27,1.11,65,3.5,91,9.93,2.63,22,38
John Oyenuga,Farnborough,531,Right Back,Right Wing Back,England,31,0.17,0.11,33,0,0.06,0.34,1.36,0.85,63,0.85,1.7,2.54,6.95,7.29,9.66,2.54,64,0,14.07,4.58,0.51,65,3.9,93,6.1,0.85,100,50
Jordan Dyer,Torquay United,2458,Right Centre Back,Centre Back,England,26,0.04,0.1,24,0,0.04,0.4,0.11,0.04,33,0.18,0.26,6.63,4.17,5.13,15.78,2.34,67,0,7.25,1.5,0.4,75,3.66,99,4.21,2.45,0,67
Jordan Higgs,Tonbridge Angels FC,1324,Right Defensive Midfielder,Centre Defensive Midfielder,England,29,0,0.04,29,0.14,0.06,0.61,0.75,0.54,73,0.68,0.68,3.47,6.05,4.08,13.06,2.38,85,0,9.79,3.4,1.02,78,2.92,97,6.6,0.95,13,17
